,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M,Deaths/1M,Total Tests,Tests/1M,Population,Continent,%Inc Cases,%Inc Deaths,%Inc Recovered
157,Nicaragua,16422,181.0,207,-1.0,4225,-1.0,11990,-1,2441.0,31.0,-1,-1,6728281,North America,1.102180002435757,-0.4830917874396135,-0.023668639053254437
158,Taiwan,16380,4.0,847,-1.0,15420,4.0,113,-1,686.0,35.0,7246326,303529,23873571,Asia,0.02442002442002442,-0.11806375442739078,0.02594033722438392
159,Barbados,16033,445.0,143,4.0,10429,207.0,5461,-1,55701.0,497.0,378335,1314398,287839,North America,2.775525478700181,2.797202797202797,1.9848499376737943
160,Mali,15879,13.0,559,-1.0,14597,12.0,723,-1,756.0,27.0,448825,21356,21016578,Africa,0.08186913533597834,-0.17889087656529518,0.08220867301500308
161,Aruba,15848,33.0,171,-1.0,15513,9.0,164,7,147611.0,1593.0,177885,1656856,107363,North America,0.20822816759212517,-0.5847953216374269,0.05801585766776252
162,Andorra,15425,-1.0,130,-1.0,15205,-1.0,90,4,199217.0,1679.0,193595,2500323,77428,Europe,-0.006482982171799028,-0.7692307692307693,-0.006576783952647156
163,Burkina Faso,14793,-1.0,214,-1.0,14287,-1.0,292,-1,683.0,10.0,222837,10290,21655917,Africa,-0.00675995403231258,-0.46728971962616817,-0.006999370056694898
164,Djibouti,13461,3.0,181,-1.0,13215,-1.0,65,-1,13369.0,180.0,234424,232817,1006902,Africa,0.022286605749944285,-0.5524861878453038,-0.007567158531971245
165,Equatorial Guinea,13236,70.0,163,-1.0,12565,28.0,508,1,9044.0,111.0,238486,162960,1463460,Africa,0.5288606829857964,-0.6134969325153374,0.22284122562674097
166,Iceland,13236,94.0,33,-1.0,12427,75.0,776,1,38459.0,96.0,1127289,3275479,344160,Europe,0.7101843457237836,-3.0303030303030303,0.6035245835680374
167,Channel Islands,12827,50.0,99,-1.0,12135,63.0,593,-1,72892.0,563.0,1001746,5692612,175973,Europe,0.38980275980353946,-1.0101010101010102,0.519159456118665
168,Brunei ,12595,211.0,82,1.0,10047,220.0,2466,-1,28432.0,185.0,482763,1089773,442994,Asia,1.6752679634775705,1.2195121951219512,2.189708370657908
169,Saint Lucia,12465,32.0,250,-1.0,11842,50.0,373,6,67476.0,1353.0,85636,463569,184732,North America,0.25671881267549135,-0.4,0.422225975342003
170,Hong Kong,12331,3.0,213,-1.0,12029,6.0,89,-1,1627.0,28.0,26499519,3497333,7577065,Asia,0.02432892709431514,-0.4694835680751174,0.04987945797655665
171,South Sudan,12293,-1.0,133,-1.0,12008,-1.0,152,2,1082.0,12.0,247059,21736,11366444,Africa,-0.008134710811030668,-0.7518796992481203,-0.008327781479013991
172,CAR,11518,-1.0,100,-1.0,6859,-1.0,4559,2,2331.0,20.0,60228,12191,4940197,Africa,-0.008682062858135092,-1.0,-0.01457938474996355
173,New Caledonia,10687,134.0,261,-1.0,55,-1.0,10371,25,36965.0,903.0,42756,147888,289111,Australia/Oceania,1.253859829699635,-0.38314176245210724,-1.8181818181818181
174,Gambia,9959,3.0,340,1.0,9603,-1.0,16,3,3974.0,136.0,103948,41483,2505809,Africa,0.03012350637614218,0.29411764705882354,-0.010413412475268145
175,Yemen,9711,17.0,1858,8.0,6309,2.0,1544,23,316.0,61.0,265253,8643,30689226,Asia,0.17505921120378953,0.4305705059203444,0.03170074496750674
176,Isle of Man,9327,69.0,57,-1.0,8492,87.0,778,1,108927.0,666.0,128771,1503877,85626,Europe,0.7397877130910261,-1.7543859649122806,1.024493641073952
177,Eritrea,6798,3.0,45,-1.0,6717,3.0,36,-1,1883.0,12.0,23693,6561,3611001,Africa,0.0441306266548985,-2.2222222222222223,0.044662795891022775
178,Sierra Leone,6396,-1.0,121,-1.0,4393,-1.0,1882,-1,781.0,15.0,160729,19625,8190217,Africa,-0.015634771732332707,-0.8264462809917356,-0.022763487366264514
179,Niger,6260,-1.0,208,-1.0,5935,-1.0,117,-1,247.0,8.0,169153,6671,25355726,Africa,-0.01597444089456869,-0.4807692307692308,-0.016849199663016005
180,Guinea-Bissau,6133,2.0,141,-1.0,5492,32.0,500,-1,3023.0,69.0,102067,50301,2029112,Africa,0.03261046796021523,-0.7092198581560284,0.5826656955571741
181,Gibraltar,5904,17.0,98,-1.0,5641,30.0,165,1,175307.0,2910.0,382014,11343132,33678,Europe,0.287940379403794,-1.0204081632653061,0.5318205991845417
182,New Zealand,5822,73.0,28,-1.0,4562,97.0,1232,5,1164.0,6.0,3947612,789191,5002100,Australia/Oceania,1.2538646513225695,-3.571428571428571,2.126260412099956
183,Grenada,5818,1.0,196,-1.0,5503,13.0,119,-1,51391.0,1731.0,79656,703613,113210,North America,0.017188037126160193,-0.5102040816326531,0.23623478102852988
184,Liberia,5811,-1.0,287,-1.0,5458,-1.0,66,2,1115.0,55.0,128246,24597,5213866,Africa,-0.017208742040956806,-0.34843205574912894,-0.01832172957127153
185,Bermuda,5625,-1.0,98,-1.0,5400,-1.0,127,1,90762.0,1581.0,586598,9465075,61975,North America,-0.017777777777777778,-1.0204081632653061,-0.018518518518518517
186,San Marino,5509,-1.0,92,-1.0,5383,-1.0,34,2,161910.0,2704.0,82601,2427656,34025,Europe,-0.01815211472136504,-1.0869565217391304,-0.01857700167193015
187,Chad,5067,-1.0,174,-1.0,4874,-1.0,19,-1,297.0,10.0,148082,8688,17044655,Africa,-0.01973554371422933,-0.5747126436781609,-0.02051702913418137
188,St. Vincent Grenadines,4905,45.0,64,1.0,3060,37.0,1781,2,44029.0,574.0,85741,769640,111404,North America,0.9174311926605505,1.5625,1.2091503267973858
189,Dominica,4659,85.0,30,-1.0,4248,149.0,381,-1,64509.0,415.0,89602,1240647,72222,North America,1.8244258424554627,-3.3333333333333335,3.5075329566854987
190,Sint Maarten,4484,4.0,75,-1.0,4370,4.0,39,10,103040.0,1723.0,53105,1220328,43517,North America,0.08920606601248886,-1.3333333333333335,0.09153318077803205
191,Comoros,4233,14.0,147,-1.0,4048,6.0,38,-1,4735.0,164.0,-1,-1,893947,Africa,0.3307347035199622,-0.6802721088435374,0.14822134387351776
192,Antigua and Barbuda,4031,-1.0,99,-1.0,3541,-1.0,391,9,40718.0,1000.0,17674,178531,98997,North America,-0.024807740014884644,-1.0101010101010102,-0.02824060999717594
193,Saint Martin,3850,-1.0,55,-1.0,1399,-1.0,2396,7,97387.0,1391.0,54303,1373612,39533,North America,-0.025974025974025976,-1.8181818181818181,-0.07147962830593281
194,Sao Tome and Principe,3705,8.0,56,-1.0,3211,13.0,438,-1,16503.0,249.0,14689,65427,224510,Africa,0.21592442645074222,-1.7857142857142856,0.4048582995951417
195,Liechtenstein,3545,16.0,61,1.0,3435,3.0,49,2,92626.0,1594.0,49126,1283602,38272,Europe,0.45133991537376583,1.639344262295082,0.08733624454148471
196,Monaco,3399,5.0,36,-1.0,3337,10.0,26,2,85816.0,909.0,54960,1387598,39608,Europe,0.14710208884966167,-2.7777777777777777,0.2996703626011388
197,Turks and Caicos,2956,-1.0,23,-1.0,2876,-1.0,57,1,75014.0,584.0,94789,2405446,39406,North America,-0.03382949932341001,-4.3478260869565215,-0.03477051460361613
198,British Virgin Islands,2725,-1.0,37,-1.0,2649,-1.0,39,7,89356.0,1213.0,82570,2707568,30496,North America,-0.03669724770642202,-2.7027027027027026,-0.03775009437523594
199,Saint Kitts and Nevis,2637,-1.0,21,-1.0,2313,-1.0,303,1,49112.0,391.0,51994,968339,53694,North America,-0.037921880925293895,-4.761904761904762,-0.043233895373973194
200,Bhutan,2617,-1.0,3,-1.0,2610,-1.0,4,-1,3343.0,4.0,1192940,1523957,782791,Asia,-0.03821169277799007,-33.33333333333333,-0.03831417624521073
201,Caribbean Netherlands,2402,12.0,19,-1.0,2294,5.0,89,-1,90491.0,716.0,25579,963645,26544,North America,0.4995836802664446,-5.263157894736842,0.2179598953792502
202,Faeroe Islands,1714,99.0,2,-1.0,1333,10.0,379,-1,34903.0,41.0,464000,9448562,49108,Europe,5.775962660443407,-50.0,0.7501875468867216
203,St. Barth,1589,-1.0,6,-1.0,462,-1.0,1121,-1,160230.0,605.0,38369,3869013,9917,North America,-0.06293266205160479,-16.666666666666664,-0.21645021645021645
204,Cayman Islands,1279,83.0,2,-1.0,957,34.0,320,-1,19164.0,30.0,136780,2049507,66738,North America,6.489444878811572,-50.0,3.5527690700104495
205,Anguilla,859,66.0,1,-1.0,749,48.0,109,-1,56591.0,66.0,47917,3156796,15179,North America,7.683352735739232,-100.0,6.408544726301736
206,Greenland,772,26.0,-1,-1.0,691,38.0,81,2,13568.0,-1.0,85448,1501722,56900,North America,3.3678756476683938,100.0,5.499276410998553
207,Macao,77,-1.0,-1,-1.0,66,-1.0,11,-1,116.0,-1.0,4988,7546,660982,Asia,-1.2987012987012987,100.0,-1.5151515151515151
208,Falkland Islands,68,-1.0,-1,-1.0,67,-1.0,1,-1,18821.0,-1.0,7643,2115417,3613,South America,-1.4705882352941175,100.0,-1.4925373134328357
209,Montserrat,41,-1.0,1,-1.0,34,-1.0,6,-1,8207.0,200.0,1408,281825,4996,North America,-2.4390243902439024,-100.0,-2.941176470588235
210,Western Sahara,10,-1.0,1,-1.0,8,-1.0,1,-1,16.0,2.0,-1,-1,616632,Africa,-10.0,-100.0,-12.5
211,Vanuatu,6,-1.0,1,-1.0,3,-1.0,2,-1,19.0,3.0,23000,72653,316575,Australia/Oceania,-16.666666666666664,-100.0,-33.33333333333333
212,Total:,245260452,427970.0,4978285,7568.0,222349961,400508.0,17932206,75052,31464.6,638.7,-1,-1,-1,All,0.17449613115774573,0.15202022383210284,0.18012505970261897
